what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526833872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526852875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367526866202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367526873961
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1367526877360
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1367526877388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367526883383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526886637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526899208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526943083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367526999611
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367527000866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1367527003759
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1367527009432
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1367527009566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527015345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527042882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367527058815
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1367527062033
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1367527069406
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1367527069492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527081623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527165750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367527171932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367527182899
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1367527198879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367527212005
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1367527212145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527213601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527262389
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1367527264035
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1367527284483
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1367527284497
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1367527284623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367527286131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367527287798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527291798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527339137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527339329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527340871
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367527342225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1367527343820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527348860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527477326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1367527482145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367527488182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367528577453
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367528577758
